folder_name,run_name,dataset,model,optimizer,seed,learning_rate,batch_size,epochs,test_accuracy,test_f1,cls_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,final_train_loss,final_train_acc,final_val_loss,final_val_acc,final_val_f1,best_epoch,best_val_loss,best_val_acc,best_val_f1,training_time_seconds
distilbert_sst2_qng_1e-05_16_20251130_152133,distilbert_sst2_qng_1e-05_16_20251130_152133,sst2,distilbert,qng,42,1e-05,16,3,0.8979357798165137,0.8975854565225136,0.8979357798165137,0.9009306921225836,0.8971646880525386,0.8975854565225136,0.9003734991354078,0.8979357798165137,0.897695361869651,0.1084797254894614,0.9610387682073972,0.2953666917641054,0.8979357798165137,0.8975854565225136,1,0.2396534669128331,0.908256880733945,0.9081873315363882,4547.686699390411
distilbert_sst2_qpso_3e-05_16_20251130_140613,distilbert_sst2_qpso_3e-05_16_20251130_140613,sst2,distilbert,qpso,42,3e-05,16,3,0.8727064220183486,0.8719951756178264,0.8727064220183486,0.8779669997377533,0.8716321461648564,0.8719951756178264,0.8772286730402931,0.8727064220183486,0.872170251654878,0.0790758634717789,0.9721599429835632,0.3398764699866826,0.8727064220183486,0.8719951756178264,1,0.2622300382703543,0.8944954128440367,0.8944282142387157,4510.523316860199
distilbert_sst2_rmsprop_0.0001_16_20251130_102555,distilbert_sst2_rmsprop_0.0001_16_20251130_102555,sst2,distilbert,rmsprop,42,0.0001,16,3,0.8119266055045872,0.8110908562521466,0.8119266055045872,0.8206632927748465,0.813420897533047,0.8110908562521466,0.8217222851712417,0.8119266055045872,0.8108603047342319,0.2313797989953088,0.9138071834771118,0.4496945695443587,0.8119266055045872,0.8110908562521466,1,0.4812470379200849,0.8119266055045872,0.8119107744107744,4430.574387311935
distilbert_sst2_sgd_0.001_16_20251130_091143,distilbert_sst2_sgd_0.001_16_20251130_091143,sst2,distilbert,sgd,42,0.001,16,3,0.9139908256880734,0.91399071257511,0.9139908256880734,0.9142448973148748,0.9142775953523616,0.91399071257511,0.914535264888362,0.9139908256880734,0.9139925223825216,0.1075907984629025,0.960860591842492,0.271572495937686,0.9139908256880734,0.91399071257511,1,0.2260547184808687,0.9162844036697247,0.9162525736914464,4440.973191738129
lstm_ag_news_adagrad_0.001_16_20251129_051547,lstm_ag_news_adagrad_0.001_16_20251129_051547,ag_news,lstm,adagrad,42,0.001,16,8,0.8822368421052632,0.8823257847805484,0.8822368421052632,0.8827060002585734,0.8822368421052632,0.8823257847805484,0.8827060002585735,0.8822368421052632,0.8823257847805484,0.3107442421572904,0.8936666666666667,0.3349002255420936,0.8822368421052632,0.8823257847805484,8,0.3349002255420936,0.8822368421052632,0.8823257847805484,3662.48717713356
lstm_ag_news_adamw_2e-05_16_20251129_021140,lstm_ag_news_adamw_2e-05_16_20251129_021140,ag_news,lstm,adamw,42,2e-05,16,8,0.8993421052631579,0.8994128712386191,0.8993421052631579,0.9000462913508356,0.8993421052631578,0.8994128712386191,0.9000462913508355,0.8993421052631579,0.8994128712386191,0.2462698102649301,0.9152833333333332,0.2953755952457064,0.8993421052631579,0.8994128712386191,8,0.2953755952457064,0.8993421052631579,0.8994128712386191,3711.26287484169
lstm_ag_news_adam_2e-05_16_20251129_010955,lstm_ag_news_adam_2e-05_16_20251129_010955,ag_news,lstm,adam,42,2e-05,16,8,0.8982894736842105,0.8983735158593706,0.8982894736842105,0.8990713022481248,0.8982894736842105,0.8983735158593706,0.8990713022481249,0.8982894736842105,0.8983735158593706,0.2447232566185295,0.9157916666666668,0.2952188926837162,0.8982894736842105,0.8983735158593706,8,0.2952188926837162,0.8982894736842105,0.8983735158593706,3699.505014181137
lstm_ag_news_cobyla_0.0001_16_20251129_061658,lstm_ag_news_cobyla_0.0001_16_20251129_061658,ag_news,lstm,cobyla,42,0.0001,16,8,0.2473684210526315,0.1179888672811282,0.2473684210526315,0.1727625839502709,0.2473684210526315,0.1179888672811282,0.1727625839502709,0.2473684210526315,0.1179888672811282,1.3868720564365389,0.249525,1.3868692704250938,0.2473684210526315,0.1179888672811282,2,1.3870132428721378,0.2506578947368421,0.1091904748171971,3603.4562208652496
lstm_ag_news_qng_1e-05_16_20251129_081905,lstm_ag_news_qng_1e-05_16_20251129_081905,ag_news,lstm,qng,42,1e-05,16,8,0.8323684210526315,0.8336011777139718,0.8323684210526315,0.8358421185932348,0.8323684210526316,0.8336011777139718,0.8358421185932348,0.8323684210526315,0.8336011777139719,0.4690471865365903,0.83155,0.4633002142372884,0.8323684210526315,0.8336011777139718,8,0.4633002142372884,0.8323684210526315,0.8336011777139718,3710.600032806397
lstm_ag_news_qpso_3e-05_16_20251129_071705,lstm_ag_news_qpso_3e-05_16_20251129_071705,ag_news,lstm,qpso,42,3e-05,16,8,0.9078947368421052,0.9079765964030896,0.9078947368421052,0.9088100019280804,0.9078947368421052,0.9079765964030896,0.9088100019280804,0.9078947368421052,0.9079765964030896,0.1848101014645149,0.937475,0.2716846348188425,0.9078947368421052,0.9079765964030896,8,0.2716846348188425,0.9078947368421052,0.9079765964030896,3716.831726551056
