folder_name,dataset,model,optimizer,seed,learning_rate,epochs,batch_size,momentum,weight_decay,spsa_a,spsa_c,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,final_train_loss,final_val_loss,final_val_acc,best_val_acc,final_train_acc,training_time
cifar10_SimpleCNN_QNG_1337_1750317366,cifar10,SimpleCNN,QNG,1337,0.001,50,32,,,,,0.211,0.1419847674719068,0.1537870878822151,0.211,0.1419847674719068,0.1537870878822151,0.211,2.100260394668579,2.0577068839210293,20.73,30.09,21.315,420.79469752311707
cifar10_SimpleCNN_QNG_1337_1750319053,cifar10,SimpleCNN,QNG,1337,0.001,50,32,,,,,0.3374,0.3192699881550208,0.4755528380145601,0.3374,0.3192699881550208,0.47555283801456,0.3374,1.998745109462738,1.8232477583443396,31.29,67.67,28.6325,424.136575460434
cifar10_SimpleCNN_QNG_1337_1752548490,cifar10,SimpleCNN,QNG,1337,0.001,50,32,,,,,0.7627,0.7614445292636576,0.7607383541649331,0.7627,0.7614445292636577,0.7607383541649331,0.7627,0.1455142811302427,1.59990663702686,76.27,77.13,95.358,885.6612553596497
cifar10_SimpleCNN_QNG_2025_1750317927,cifar10,SimpleCNN,QNG,2025,0.001,50,32,,,,,0.2325,0.1728415711771313,0.1729316921169455,0.2324999999999999,0.1728415711771313,0.1729316921169456,0.2325,2.112948854732513,2.0657980362066444,22.76,31.04,21.84,423.5342118740082
cifar10_SimpleCNN_QNG_2025_1750319618,cifar10,SimpleCNN,QNG,2025,0.001,50,32,,,,,0.2946,0.2459301822473565,0.4427801288727411,0.2946,0.2459301822473565,0.4427801288727411,0.2946,2.1162280447006228,1.8117680138292405,28.57,67.93,26.8575,429.7260546684265
cifar10_SimpleCNN_QNG_2025_1752549406,cifar10,SimpleCNN,QNG,2025,0.001,50,32,,,,,0.7598,0.761207690333763,0.7648629769700424,0.7597999999999999,0.7612076903337631,0.7648629769700425,0.7598,0.1397985921916187,1.7227333859799387,75.98,77.25,95.628,891.0009973049164
cifar10_SimpleCNN_QNG_42_1750316807,cifar10,SimpleCNN,QNG,42,0.001,50,32,,,,,0.219,0.1746097684136977,0.2534372472707927,0.219,0.1746097684136977,0.2534372472707927,0.219,2.1361624784469604,2.0619846174892147,20.93,29.53,20.2025,419.0179250240326
cifar10_SimpleCNN_QNG_42_1750318490,cifar10,SimpleCNN,QNG,42,0.001,50,32,,,,,0.405,0.3873015622810071,0.420079952557552,0.4050000000000001,0.3873015622810071,0.420079952557552,0.405,1.7783648044586182,1.6674205171414458,39.81,69.12,36.0225,423.9952764511109
cifar10_SimpleCNN_QNG_42_1752547577,cifar10,SimpleCNN,QNG,42,0.001,50,32,,,,,0.7685,0.7679548406512667,0.7705524390551597,0.7685000000000001,0.7679548406512667,0.7705524390551596,0.7685,0.1377650316040388,1.722211659097443,76.85,77.4,95.648,883.0019278526306
cifar10_SimpleCNN_SGD_1337_1750293852,cifar10,SimpleCNN,SGD,1337,0.001,50,32,0.9,,,,0.7497,0.7487308610791815,0.7512837272332977,0.7497,0.7487308610791814,0.7512837272332976,0.7497,0.7909526623010635,0.8949485925820689,72.79,74.63,74.5175,422.8941786289215
cifar10_SimpleCNN_SGD_1337_1750295537,cifar10,SimpleCNN,SGD,1337,0.001,50,32,0.9,,,,0.1,0.0181818181818181,0.01,0.1,0.0181818181818181,0.01,0.1,2.3091128324508667,2.3098929552986216,9.76,21.54,10.235,424.8800756931305
cifar10_SimpleCNN_SGD_1337_1750297229,cifar10,SimpleCNN,SGD,1337,0.001,50,32,0.9,,,,0.8174,0.8165009963471285,0.8175065086655877,0.8173999999999999,0.8165009963471284,0.8175065086655878,0.8174,0.3407947758615017,0.6179709359765434,80.06,80.14,87.9075,423.1373553276062
cifar10_SimpleCNN_SGD_1337_1750298922,cifar10,SimpleCNN,SGD,1337,0.001,50,32,0.9,,,,0.75,0.7490101251216472,0.751307741771748,0.75,0.7490101251216472,0.7513077417717479,0.75,0.7971961645603179,0.8948054789735106,72.43,75.13,74.4875,428.2427885532379
