folder_name,dataset,model,optimizer,seed,learning_rate_grid,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,final_train_loss,final_val_loss,final_val_metric
adults_CatBoost_SGD_42_1750185845,adults,CatBoost,SGD,42,"0.1, 0.01, 0.001",0.8695874705701709,0.8053155826673403,0.8399066324693091,0.7828026684965613,0.8636331891325312,0.8645543592665844,0.8695874705701709,-0.8675219143899162,-0.8684580934101087,0.8684580934101087
adults_CatBoost_SGD_42_1750185848,adults,CatBoost,SGD,42,"0.1, 0.01, 0.001",0.8509571092230526,0.772744987138315,0.8148279544808381,0.7485708265112315,0.842250193520721,0.843718798428412,0.8509571092230526,-0.847910934800691,-0.853998720409469,0.853998720409469
adults_CatBoost_SGD_42_1750185852,adults,CatBoost,SGD,42,"0.1, 0.01, 0.001",0.8488074521445389,0.772245436700845,0.8078326343711186,0.7505289898891876,0.8410890709972314,0.841302521607691,0.8488074521445389,-0.8468871968775993,-0.8514395393474088,0.8514395393474088
adults_CatBoost_SPSA_1337_1750185908,adults,CatBoost,SPSA,1337,"0.1, 0.01, 0.001",0.8640597809397073,0.7967063412070647,0.83131013830699,0.7744789272599619,0.8577113329478345,0.8584178792347372,0.8640597809397073,-0.8675219143899162,-0.8712731925783749,0.8712731925783749
adults_CatBoost_SPSA_1337_1750185912,adults,CatBoost,SPSA,1337,"0.1, 0.01, 0.001",0.8462483365748797,0.7633009579309475,0.8093410138882413,0.7382936416802476,0.83635145065679,0.8383799439736808,0.8462483365748797,-0.848998656343976,-0.8492642354446577,0.8492642354446577
adults_CatBoost_SPSA_2025_1750185947,adults,CatBoost,SPSA,2025,"0.1, 0.01, 0.001",0.8637526870713481,0.7969259023455867,0.8298113222891139,0.7754496486006015,0.8576590955305087,0.858080066497768,0.8637526870713481,-0.8682577260221384,-0.8696097248880358,0.8696097248880358
adults_CatBoost_SPSA_2025_1750185951,adults,CatBoost,SPSA,2025,"0.1, 0.01, 0.001",0.8504452861091207,0.7733304733842975,0.8122414440844244,0.750286410281116,0.8422574198931646,0.8431112152143273,0.8504452861091207,-0.849990402456971,-0.8537428023032629,0.8537428023032629
adults_CatBoost_SPSA_42_1750185868,adults,CatBoost,SPSA,42,"0.1, 0.01, 0.001",0.8695874705701709,0.8053155826673403,0.8399066324693091,0.7828026684965613,0.8636331891325312,0.8645543592665844,0.8695874705701709,-0.8675219143899162,-0.8684580934101087,0.8684580934101087
adults_CatBoost_SPSA_42_1750185872,adults,CatBoost,SPSA,42,"0.1, 0.01, 0.001",0.8509571092230526,0.772744987138315,0.8148279544808381,0.7485708265112315,0.842250193520721,0.843718798428412,0.8509571092230526,-0.847910934800691,-0.853998720409469,0.853998720409469
adults_LightGBM_Adam_1337_1750185614,adults,LightGBM,Adam,1337,"0.1, 0.01, 0.001",0.8731702323676938,0.8136183008430884,0.8408700850531232,0.7943917229270624,0.8685436878866986,0.8685132795201216,0.8731702323676938,-0.8867809840680786,-0.8795905310300703,0.8795905310300703
adults_LightGBM_Adam_1337_1750185618,adults,LightGBM,Adam,1337,"0.1, 0.01, 0.001",0.8542327771522162,0.7571310410944287,0.8585821437167359,0.7203835019850143,0.837192420686838,0.8555314173824707,0.8542327771522162,-0.8564207562863907,-0.8578374920025592,0.8578374920025592
adults_LightGBM_Adam_1337_1750185621,adults,LightGBM,Adam,1337,"0.1, 0.01, 0.001",0.7606715119254785,0.4320348837209302,0.3803357559627393,0.5,0.6572732564090966,0.5786211490549934,0.7606715119254785,-0.7607332522874144,-0.7607165706973769,0.7607165706973769
